,name,init_flux,starting_fitness,end_fitness,window_size,point,learn_rate,conv_rate,min_period,max_period,duration
30,61.0,0.1,0.1252152041007986,0.5326848227669719,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
31,61.0,0.1,0.1252152041007986,0.559227112675841,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
32,61.0,0.1,0.1252152041007986,0.6268287386279664,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
33,61.0,0.1,0.1252152041007986,0.6127538412653325,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
34,61.0,0.1,0.1252152041007986,0.6159220813280583,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
35,61.0,0.1,0.1252152041007986,0.604522534434289,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
36,61.0,0.1,0.1252152041007986,0.5577110327553906,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
37,61.0,0.1,0.1252152041007986,0.4894434503080677,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
38,61.0,0.1,0.1252152041007986,0.5732120906743267,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
39,61.0,0.1,0.1252152041007986,0.5901831956506461,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
40,61.0,0.2,0.1252152041007986,0.5994344108709926,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
41,61.0,0.2,0.1252152041007986,0.535963141166582,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
42,61.0,0.2,0.1252152041007986,0.5921810017987781,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
43,61.0,0.2,0.1252152041007986,0.6263017397901872,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
44,61.0,0.2,0.1252152041007986,0.6194114414630332,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
45,61.0,0.2,0.1252152041007986,0.6149766786237977,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
46,61.0,0.2,0.1252152041007986,0.5983827326276664,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
47,61.0,0.2,0.1252152041007986,0.6208496406478615,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
48,61.0,0.2,0.1252152041007986,0.5968459375532001,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
49,61.0,0.2,0.1252152041007986,0.5927080555506866,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
50,61.0,0.3,0.1252152041007986,0.6094895294832449,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
51,61.0,0.3,0.1252152041007986,0.6237342572320215,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
52,61.0,0.3,0.1252152041007986,0.6137070682202456,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
53,61.0,0.3,0.1252152041007986,0.5481231395230567,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
54,61.0,0.3,0.1252152041007986,0.6195838367051063,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
55,61.0,0.3,0.1252152041007986,0.5890500861483918,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
56,61.0,0.3,0.1252152041007986,0.5758255011832627,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
57,61.0,0.3,0.1252152041007986,0.6256707164518027,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
58,61.0,0.3,0.1252152041007986,0.6111984059492023,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
59,61.0,0.3,0.1252152041007986,0.5909904670544542,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
60,61.0,0.4,0.1252152041007986,0.5862949348786978,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
61,61.0,0.4,0.1252152041007986,0.6082547544448548,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
62,61.0,0.4,0.1252152041007986,0.5929069370583496,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
63,61.0,0.4,0.1252152041007986,0.6081274429027986,4000.0,0.1,0.008,0.004,300.0,400.0,1000.0
