,name,init_flux,starting_fitness,end_fitness,window_size,point,learn_rate,conv_rate,min_period,max_period,duration
0,p-6-7816,0.25,0.08704966583521417,0.1356377972057318,4000,0.1,0.008,0.004,300,400,2000
1,p-6-7816,0.25,0.08704966583521417,0.1380425602321922,4000,0.1,0.008,0.004,300,400,2000
2,p-6-7816,0.25,0.08704966583521417,0.16193278451844784,4000,0.1,0.008,0.004,300,400,2000
3,p-6-7816,0.25,0.08704966583521417,0.16709319251963553,4000,0.1,0.008,0.004,300,400,2000
4,p-6-7816,0.25,0.08704966583521417,0.15441544089857337,4000,0.1,0.008,0.004,300,400,2000
5,p-6-7816,0.25,0.08704966583521417,0.1500811994612976,4000,0.1,0.008,0.004,300,400,2000
6,p-6-7816,0.25,0.08704966583521417,0.1567606550546644,4000,0.1,0.008,0.004,300,400,2000
7,p-6-7816,0.25,0.08704966583521417,0.1701209688747064,4000,0.1,0.008,0.004,300,400,2000
8,p-6-7816,0.25,0.08704966583521417,0.15197687500346363,4000,0.1,0.008,0.004,300,400,2000
9,p-6-7816,0.25,0.08704966583521417,0.15556991955108,4000,0.1,0.008,0.004,300,400,2000
10,p-6-7816,0.25,0.08704966583521417,0.15757960103924146,4000,0.1,0.008,0.004,300,400,2000
11,p-6-7816,0.25,0.08704966583521417,0.1532146174580834,4000,0.1,0.008,0.004,300,400,2000
12,p-6-7816,0.25,0.08704966583521417,0.1627453395771942,4000,0.1,0.008,0.004,300,400,2000
13,p-6-7816,0.25,0.08704966583521417,0.16628144186869204,4000,0.1,0.008,0.004,300,400,2000
14,p-6-7816,0.25,0.08704966583521417,0.15271673436804256,4000,0.1,0.008,0.004,300,400,2000
15,p-6-7816,0.25,0.08704966583521417,0.13282556119204605,4000,0.1,0.008,0.004,300,400,2000
16,p-6-7816,0.25,0.08704966583521417,0.1768404987371431,4000,0.1,0.008,0.004,300,400,2000
17,p-6-7816,0.25,0.08704966583521417,0.14886440522632136,4000,0.1,0.008,0.004,300,400,2000
18,p-6-7816,0.25,0.08704966583521417,0.15654112604239487,4000,0.1,0.008,0.004,300,400,2000
19,p-6-7816,0.25,0.08704966583521417,0.15041442933866417,4000,0.1,0.008,0.004,300,400,2000
20,p-0-6717,0.25,0.11995251498755574,0.20083102699601912,4000,0.1,0.008,0.004,300,400,2000
21,p-0-6717,0.25,0.11995251498755574,0.20758764829533619,4000,0.1,0.008,0.004,300,400,2000
22,p-0-6717,0.25,0.11995251498755574,0.18300539508878005,4000,0.1,0.008,0.004,300,400,2000
23,p-0-6717,0.25,0.11995251498755574,0.20757613358888552,4000,0.1,0.008,0.004,300,400,2000
24,p-0-6717,0.25,0.11995251498755574,0.19814820766562183,4000,0.1,0.008,0.004,300,400,2000
25,p-0-6717,0.25,0.11995251498755574,0.1886338106034577,4000,0.1,0.008,0.004,300,400,2000
26,p-0-6717,0.25,0.11995251498755574,0.18822412775950942,4000,0.1,0.008,0.004,300,400,2000
27,p-0-6717,0.25,0.11995251498755574,0.1921170825306623,4000,0.1,0.008,0.004,300,400,2000
28,p-0-6717,0.25,0.11995251498755574,0.20311122551811922,4000,0.1,0.008,0.004,300,400,2000
29,p-0-6717,0.25,0.11995251498755574,0.1953238960341369,4000,0.1,0.008,0.004,300,400,2000
30,p-0-6717,0.25,0.11995251498755574,0.21202350378066562,4000,0.1,0.008,0.004,300,400,2000
31,p-0-6717,0.25,0.11995251498755574,0.21066257805316915,4000,0.1,0.008,0.004,300,400,2000
32,p-0-6717,0.25,0.11995251498755574,0.19760023571487118,4000,0.1,0.008,0.004,300,400,2000
33,p-0-6717,0.25,0.11995251498755574,0.19866662143880165,4000,0.1,0.008,0.004,300,400,2000
34,p-0-6717,0.25,0.11995251498755574,0.2151011744840542,4000,0.1,0.008,0.004,300,400,2000
35,p-0-6717,0.25,0.11995251498755574,0.19987810649671628,4000,0.1,0.008,0.004,300,400,2000
36,p-0-6717,0.25,0.11995251498755574,0.18899304394477465,4000,0.1,0.008,0.004,300,400,2000
37,p-0-6717,0.25,0.11995251498755574,0.20729218612007297,4000,0.1,0.008,0.004,300,400,2000
38,p-0-6717,0.25,0.11995251498755574,0.19810186637297694,4000,0.1,0.008,0.004,300,400,2000
39,p-0-6717,0.25,0.11995251498755574,0.20083809076232303,4000,0.1,0.008,0.004,300,400,2000
40,p-3-7479,0.25,0.08033100082204687,0.11543855911608267,4000,0.1,0.008,0.004,300,400,2000
41,p-3-7479,0.25,0.08033100082204687,0.1269021028961835,4000,0.1,0.008,0.004,300,400,2000
42,p-3-7479,0.25,0.08033100082204687,0.10986408662577217,4000,0.1,0.008,0.004,300,400,2000
43,p-3-7479,0.25,0.08033100082204687,0.1104318411687001,4000,0.1,0.008,0.004,300,400,2000
44,p-3-7479,0.25,0.08033100082204687,0.09498000828930715,4000,0.1,0.008,0.004,300,400,2000
45,p-3-7479,0.25,0.08033100082204687,0.10549225517232853,4000,0.1,0.008,0.004,300,400,2000
46,p-3-7479,0.25,0.08033100082204687,0.1157815126977106,4000,0.1,0.008,0.004,300,400,2000
47,p-3-7479,0.25,0.08033100082204687,0.11137398676527333,4000,0.1,0.008,0.004,300,400,2000
48,p-3-7479,0.25,0.08033100082204687,0.12277719821887674,4000,0.1,0.008,0.004,300,400,2000
49,p-3-7479,0.25,0.08033100082204687,0.10565231314160356,4000,0.1,0.008,0.004,300,400,2000
50,p-3-7479,0.25,0.08033100082204687,0.11120743520519658,4000,0.1,0.008,0.004,300,400,2000
51,p-3-7479,0.25,0.08033100082204687,0.12236795889051393,4000,0.1,0.008,0.004,300,400,2000
52,p-3-7479,0.25,0.08033100082204687,0.11334357820070187,4000,0.1,0.008,0.004,300,400,2000
53,p-3-7479,0.25,0.08033100082204687,0.13534354294553166,4000,0.1,0.008,0.004,300,400,2000
54,p-3-7479,0.25,0.08033100082204687,0.10148606402920683,4000,0.1,0.008,0.004,300,400,2000
55,p-3-7479,0.25,0.08033100082204687,0.11434799948482778,4000,0.1,0.008,0.004,300,400,2000
56,p-3-7479,0.25,0.08033100082204687,0.16095707119829075,4000,0.1,0.008,0.004,300,400,2000
57,p-3-7479,0.25,0.08033100082204687,0.11095601865104791,4000,0.1,0.008,0.004,300,400,2000
58,p-3-7479,0.25,0.08033100082204687,0.11349906476729937,4000,0.1,0.008,0.004,300,400,2000
59,p-3-7479,0.25,0.08033100082204687,0.10188839484426894,4000,0.1,0.008,0.004,300,400,2000
60,p-2-7837,0.25,0.0802386774111684,0.12871566607743015,4000,0.1,0.008,0.004,300,400,2000
61,p-2-7837,0.25,0.0802386774111684,0.11705642377591324,4000,0.1,0.008,0.004,300,400,2000
62,p-2-7837,0.25,0.0802386774111684,0.1061931965472202,4000,0.1,0.008,0.004,300,400,2000
63,p-2-7837,0.25,0.0802386774111684,0.09745187325950037,4000,0.1,0.008,0.004,300,400,2000
64,p-2-7837,0.25,0.0802386774111684,0.10136184087653707,4000,0.1,0.008,0.004,300,400,2000
65,p-2-7837,0.25,0.0802386774111684,0.1043332030156694,4000,0.1,0.008,0.004,300,400,2000
66,p-2-7837,0.25,0.0802386774111684,0.1113300066452403,4000,0.1,0.008,0.004,300,400,2000
67,p-2-7837,0.25,0.0802386774111684,0.10748419604746565,4000,0.1,0.008,0.004,300,400,2000
68,p-2-7837,0.25,0.0802386774111684,0.10040042946804242,4000,0.1,0.008,0.004,300,400,2000
69,p-2-7837,0.25,0.0802386774111684,0.10409621404329221,4000,0.1,0.008,0.004,300,400,2000
70,p-2-7837,0.25,0.0802386774111684,0.10446120516979966,4000,0.1,0.008,0.004,300,400,2000
71,p-2-7837,0.25,0.0802386774111684,0.10172374959903685,4000,0.1,0.008,0.004,300,400,2000
72,p-2-7837,0.25,0.0802386774111684,0.09990174766652331,4000,0.1,0.008,0.004,300,400,2000
73,p-2-7837,0.25,0.0802386774111684,0.10427458024631679,4000,0.1,0.008,0.004,300,400,2000
74,p-2-7837,0.25,0.0802386774111684,0.1153520447993411,4000,0.1,0.008,0.004,300,400,2000
75,p-2-7837,0.25,0.0802386774111684,0.10588640541450428,4000,0.1,0.008,0.004,300,400,2000
76,p-2-7837,0.25,0.0802386774111684,0.12679231336783078,4000,0.1,0.008,0.004,300,400,2000
77,p-2-7837,0.25,0.0802386774111684,0.10881175029132337,4000,0.1,0.008,0.004,300,400,2000
78,p-2-7837,0.25,0.0802386774111684,0.10828830499155048,4000,0.1,0.008,0.004,300,400,2000
79,p-2-7837,0.25,0.0802386774111684,0.11842663713876933,4000,0.1,0.008,0.004,300,400,2000
80,p-1-7708,0.25,0.08103050518853572,0.08146895683260517,4000,0.1,0.008,0.004,300,400,2000
81,p-1-7708,0.25,0.08103050518853572,0.08109011413694152,4000,0.1,0.008,0.004,300,400,2000
82,p-1-7708,0.25,0.08103050518853572,0.08196980567065311,4000,0.1,0.008,0.004,300,400,2000
83,p-1-7708,0.25,0.08103050518853572,0.0809838856888296,4000,0.1,0.008,0.004,300,400,2000
84,p-1-7708,0.25,0.08103050518853572,0.08054876462634908,4000,0.1,0.008,0.004,300,400,2000
85,p-1-7708,0.25,0.08103050518853572,0.07959770812776878,4000,0.1,0.008,0.004,300,400,2000
86,p-1-7708,0.25,0.08103050518853572,0.08125732923931857,4000,0.1,0.008,0.004,300,400,2000
87,p-1-7708,0.25,0.08103050518853572,0.08078092787345105,4000,0.1,0.008,0.004,300,400,2000
88,p-1-7708,0.25,0.08103050518853572,0.08127845040059077,4000,0.1,0.008,0.004,300,400,2000
89,p-1-7708,0.25,0.08103050518853572,0.07981777409342035,4000,0.1,0.008,0.004,300,400,2000
90,p-1-7708,0.25,0.08103050518853572,0.07886798972103344,4000,0.1,0.008,0.004,300,400,2000
91,p-1-7708,0.25,0.08103050518853572,0.08056288159740346,4000,0.1,0.008,0.004,300,400,2000
92,p-1-7708,0.25,0.08103050518853572,0.08168959477369626,4000,0.1,0.008,0.004,300,400,2000
93,p-1-7708,0.25,0.08103050518853572,0.07938510033896282,4000,0.1,0.008,0.004,300,400,2000
94,p-1-7708,0.25,0.08103050518853572,0.0806639452757897,4000,0.1,0.008,0.004,300,400,2000
95,p-1-7708,0.25,0.08103050518853572,0.08178362720846398,4000,0.1,0.008,0.004,300,400,2000
96,p-1-7708,0.25,0.08103050518853572,0.08101316448908295,4000,0.1,0.008,0.004,300,400,2000
97,p-1-7708,0.25,0.08103050518853572,0.08094114136729717,4000,0.1,0.008,0.004,300,400,2000
98,p-1-7708,0.25,0.08103050518853572,0.08158836983671472,4000,0.1,0.008,0.004,300,400,2000
99,p-1-7708,0.25,0.08103050518853572,0.08006036625703682,4000,0.1,0.008,0.004,300,400,2000
100,p-8-5304,0.25,0.09005928663211572,0.2857423587070849,4000,0.1,0.008,0.004,300,400,2000
101,p-8-5304,0.25,0.09005928663211572,0.2349316675371546,4000,0.1,0.008,0.004,300,400,2000
102,p-8-5304,0.25,0.09005928663211572,0.2778160762255836,4000,0.1,0.008,0.004,300,400,2000
103,p-8-5304,0.25,0.09005928663211572,0.28186181039634745,4000,0.1,0.008,0.004,300,400,2000
104,p-8-5304,0.25,0.09005928663211572,0.23750579475896133,4000,0.1,0.008,0.004,300,400,2000
105,p-8-5304,0.25,0.09005928663211572,0.26737224294504197,4000,0.1,0.008,0.004,300,400,2000
106,p-8-5304,0.25,0.09005928663211572,0.28443004526294985,4000,0.1,0.008,0.004,300,400,2000
107,p-8-5304,0.25,0.09005928663211572,0.38743687137703364,4000,0.1,0.008,0.004,300,400,2000
